,TerritoryCodes,YearMonth,Year,InvoiceAmt
65,London,20117,2011,12191.4
54,House Account,20117,2011,335.0
172,South West,20117,2011,19836.350000000002
14,EU,20117,2011,14520.53
34,East Anglia,20117,2011,10937.79
122,Northern Ireland,20117,2011,2928.64
132,Scotland,20117,2011,10463.81
182,West Midlands (East),20117,2011,45756.13
192,West Midlands (West),20117,2011,27737.47
85,North East,20117,2011,13370.12
4,Central/E.Anglia,20117,2011,61200.25
75,Non EU,20117,2011,212530.37
44,East Midlands,20117,2011,25548.2
95,North East/Yorkshire,20117,2011,8647.85
105,North West,20117,2011,70477.8
115,North West (South),20117,2011,1304.76
152,South Coast,20117,2011,43255.76
162,South East/London,20117,2011,79503.64
142,Scotland Depot,20117,2011,0.0
86,North East,20118,2011,12158.48
76,Non EU,20118,2011,374587.27
55,House Account,20118,2011,322.27
45,East Midlands,20118,2011,33023.55
106,North West,20118,2011,38279.36
96,North East/Yorkshire,20118,2011,6115.259999999999
193,West Midlands (West),20118,2011,29083.43
183,West Midlands (East),20118,2011,77580.91
123,Northern Ireland,20118,2011,3068.42
116,North West (South),20118,2011,671.51
173,South West,20118,2011,28421.66
153,South Coast,20118,2011,35445.24
133,Scotland,20118,2011,10394.53
163,South East/London,20118,2011,69588.11
143,Scotland Depot,20118,2011,0.0
66,London,20118,2011,9196.83
25,EU INV,20118,2011,6382.36
5,Central/E.Anglia,20118,2011,25291.89
35,East Anglia,20118,2011,12667.89
15,EU,20118,2011,13377.279999999999
16,EU,20119,2011,36080.01
6,Central/E.Anglia,20119,2011,21801.510000000002
36,East Anglia,20119,2011,12322.449999999999
26,EU INV,20119,2011,11084.91
154,South Coast,20119,2011,28009.6
164,South East/London,20119,2011,40769.05
134,Scotland,20119,2011,18464.29
144,Scotland Depot,20119,2011,0.0
174,South West,20119,2011,16563.03
124,Northern Ireland,20119,2011,1169.8
194,West Midlands (West),20119,2011,35386.17
107,North West,20119,2011,44413.24
184,West Midlands (East),20119,2011,71657.88
117,North West (South),20119,2011,415.74
97,North East/Yorkshire,20119,2011,2348.46
200,none,20119,2011,396.85
67,London,20119,2011,7480.26
87,North East,20119,2011,20069.0
46,East Midlands,20119,2011,27264.78
77,Non EU,20119,2011,343931.63
56,House Account,20119,2011,799.85
386,South East/London,20121,2012,38029.82
434,none,20121,2012,700.0
213,EU,20121,2012,28669.670000000002
225,EU INV,20121,2012,4796.71
261,House Account,20121,2012,1345.7
333,North West (South),20121,2012,3067.0699999999997
374,South Coast,20121,2012,41707.44
353,Scotland,20121,2012,4189.2
321,North West,20121,2012,39546.72
344,Northern Ireland,20121,2012,1817.35
249,East Midlands,20121,2012,35092.27
273,London,20121,2012,393.59
297,North East,20121,2012,16351.26
285,Non EU,20121,2012,240025.48
237,East Anglia,20121,2012,19225.52
201,Central/E.Anglia,20121,2012,32098.77
309,North East/Yorkshire,20121,2012,5263.62
410,West Midlands (East),20121,2012,63433.52
398,South West,20121,2012,24027.92
422,West Midlands (West),20121,2012,27665.260000000002
365,Scotland Depot,20121,2012,0.0
366,Scotland Depot,20122,2012,0.0
226,EU INV,20122,2012,5433.09
262,House Account,20122,2012,4602.32
238,East Anglia,20122,2012,35255.88
354,Scotland,20122,2012,8234.33
399,South West,20122,2012,11146.8
286,Non EU,20122,2012,348243.06
274,London,20122,2012,189.75
298,North East,20122,2012,12233.96
310,North East/Yorkshire,20122,2012,6486.900000000001
411,West Midlands (East),20122,2012,73961.7
435,none,20122,2012,166.81
202,Central/E.Anglia,20122,2012,37751.21
214,EU,20122,2012,60406.57
375,South Coast,20122,2012,44305.94
423,West Midlands (West),20122,2012,31910.4
334,North West (South),20122,2012,2170.8399999999997
250,East Midlands,20122,2012,20711.49
322,North West,20122,2012,68692.19
387,South East/London,20122,2012,48370.65
323,North West,20123,2012,39405.9
227,EU INV,20123,2012,9811.91
215,EU,20123,2012,24970.42
251,East Midlands,20123,2012,56905.68
388,South East/London,20123,2012,55908.87
436,none,20123,2012,1718.36
376,South Coast,20123,2012,39530.72
203,Central/E.Anglia,20123,2012,27992.52
239,East Anglia,20123,2012,37959.33
355,Scotland,20123,2012,8409.72
263,House Account,20123,2012,528.6
311,North East/Yorkshire,20123,2012,8282.07
400,South West,20123,2012,18717.85
412,West Midlands (East),20123,2012,84163.06
275,London,20123,2012,584.15
299,North East,20123,2012,21114.84
287,Non EU,20123,2012,163370.6
335,North West (South),20123,2012,1031.18
424,West Midlands (West),20123,2012,73117.37
367,Scotland Depot,20123,2012,0.0
336,North West (South),20124,2012,1997.04
228,EU INV,20124,2012,10842.73
240,East Anglia,20124,2012,39531.96
356,Scotland,20124,2012,10067.61
324,North West,20124,2012,54565.94
264,House Account,20124,2012,2296.29
216,EU,20124,2012,14958.02
425,West Midlands (West),20124,2012,25517.99
252,East Midlands,20124,2012,41704.02
389,South East/London,20124,2012,69058.61
368,Scotland Depot,20124,2012,0.0
377,South Coast,20124,2012,32831.78
204,Central/E.Anglia,20124,2012,37915.65
437,none,20124,2012,208.6
413,West Midlands (East),20124,2012,39981.24
276,London,20124,2012,551.29
300,North East,20124,2012,30788.71
288,Non EU,20124,2012,424613.93
401,South West,20124,2012,29150.15
312,North East/Yorkshire,20124,2012,5394.66
301,North East,20125,2012,20345.7
337,North West (South),20125,2012,882.66
313,North East/Yorkshire,20125,2012,10576.27
357,Scotland,20125,2012,8672.4
241,East Anglia,20125,2012,59203.29
325,North West,20125,2012,32115.2
265,House Account,20125,2012,734.6
253,East Midlands,20125,2012,52956.7
229,EU INV,20125,2012,7765.22
414,West Midlands (East),20125,2012,57106.37
438,none,20125,2012,37.8
390,South East/London,20125,2012,58145.090000000004
345,Northern Ireland,20125,2012,190.48
205,Central/E.Anglia,20125,2012,35163.48
369,Scotland Depot,20125,2012,0.0
378,South Coast,20125,2012,59984.58
426,West Midlands (West),20125,2012,36970.67
217,EU,20125,2012,29967.86
402,South West,20125,2012,15019.16
289,Non EU,20125,2012,320429.29
277,London,20125,2012,500.0
326,North West,20126,2012,65870.97
415,West Midlands (East),20126,2012,60798.53
427,West Midlands (West),20126,2012,23713.7
379,South Coast,20126,2012,27853.99
370,Scotland Depot,20126,2012,0.0
266,House Account,20126,2012,38.83
391,South East/London,20126,2012,50771.47
206,Central/E.Anglia,20126,2012,35097.87
290,Non EU,20126,2012,549798.4
314,North East/Yorkshire,20126,2012,12961.36
278,London,20126,2012,157.73
403,South West,20126,2012,16259.03
302,North East,20126,2012,22505.69
358,Scotland,20126,2012,7394.71
338,North West (South),20126,2012,511.06
242,East Anglia,20126,2012,74103.78
346,Northern Ireland,20126,2012,1708.88
254,East Midlands,20126,2012,18535.12
218,EU,20126,2012,56532.44
230,EU INV,20126,2012,22039.31
392,South East/London,20127,2012,83124.06
207,Central/E.Anglia,20127,2012,33692.44
380,South Coast,20127,2012,57130.119999999995
416,West Midlands (East),20127,2012,50943.21
439,none,20127,2012,715.06
255,East Midlands,20127,2012,23621.29
267,House Account,20127,2012,372.4
219,EU,20127,2012,30723.190000000002
428,West Midlands (West),20127,2012,23432.11
359,Scotland,20127,2012,11505.91
404,South West,20127,2012,15336.76
315,North East/Yorkshire,20127,2012,3932.99
291,Non EU,20127,2012,262053.11
231,EU INV,20127,2012,8682.08
243,East Anglia,20127,2012,51843.39
347,Northern Ireland,20127,2012,1954.3799999999999
327,North West,20127,2012,56689.86
279,London,20127,2012,307.9
339,North West (South),20127,2012,4453.18
303,North East,20127,2012,19718.42
220,EU,20128,2012,44164.22
316,North East/Yorkshire,20128,2012,8259.220000000001
328,North West,20128,2012,32674.940000000002
256,East Midlands,20128,2012,26580.88
232,EU INV,20128,2012,6863.29
429,West Midlands (West),20128,2012,15013.25
417,West Midlands (East),20128,2012,61423.69
381,South Coast,20128,2012,47234.82
208,Central/E.Anglia,20128,2012,42932.770000000004
348,Northern Ireland,20128,2012,2184.76
360,Scotland,20128,2012,6844.2
244,East Anglia,20128,2012,57968.02
280,London,20128,2012,4120.62
304,North East,20128,2012,45732.46
268,House Account,20128,2012,1863.79
340,North West (South),20128,2012,11619.64
292,Non EU,20128,2012,159281.42
405,South West,20128,2012,18789.74
393,South East/London,20128,2012,55093.09
305,North East,20129,2012,19865.38
293,Non EU,20129,2012,492085.0
281,London,20129,2012,731.5999999999999
269,House Account,20129,2012,15465.72
317,North East/Yorkshire,20129,2012,12054.49
341,North West (South),20129,2012,1381.02
329,North West,20129,2012,100367.93000000001
221,EU,20129,2012,40630.82
361,Scotland,20129,2012,5734.87
209,Central/E.Anglia,20129,2012,26765.35
257,East Midlands,20129,2012,28903.32
245,East Anglia,20129,2012,22778.94
233,EU INV,20129,2012,12070.25
349,Northern Ireland,20129,2012,2899.48
371,Scotland Depot,20129,2012,0.0
382,South Coast,20129,2012,38388.73
394,South East/London,20129,2012,81493.28
430,West Midlands (West),20129,2012,21323.4
418,West Midlands (East),20129,2012,47093.49
406,South West,20129,2012,16803.03
528,Non EU,20131,2013,283334.16
494,East Midlands,20131,2013,24644.77
552,North East/Yorkshire,20131,2013,9540.01
518,London,20131,2013,419.76
591,Scotland,20131,2013,12785.7
607,South Coast,20131,2013,36502.31
453,EU,20131,2013,37329.7
564,North West,20131,2013,40365.71
506,House Account,20131,2013,1217.76
540,North East,20131,2013,17881.01
470,EU INV,20131,2013,7820.67
482,East Anglia,20131,2013,52741.35
631,South West,20131,2013,49793.87
603,Scotland Depot,20131,2013,0.0
619,South East/London,20131,2013,25157.83
441,Central/E.Anglia,20131,2013,23080.7
667,none,20131,2013,864.32
655,West Midlands (West),20131,2013,23993.56
643,West Midlands (East),20131,2013,52795.0
553,North East/Yorkshire,20132,2013,15804.78
620,South East/London,20132,2013,21021.78
656,West Midlands (West),20132,2013,28325.56
644,West Midlands (East),20132,2013,50130.39
592,Scotland,20132,2013,11611.36
565,North West,20132,2013,49602.54
604,Scotland Depot,20132,2013,0.0
608,South Coast,20132,2013,44116.72
632,South West,20132,2013,51533.53
442,Central/E.Anglia,20132,2013,32713.57
519,London,20132,2013,2210.38
507,House Account,20132,2013,882.64
471,EU INV,20132,2013,3273.6099999999997
495,East Midlands,20132,2013,28649.33
454,EU,20132,2013,18123.82
584,Northern Ireland,20132,2013,93.89
576,North West (South),20132,2013,102.1
529,Non EU,20132,2013,297079.87
541,North East,20132,2013,23707.01
483,East Anglia,20132,2013,61080.16
496,East Midlands,20133,2013,43905.5
508,House Account,20133,2013,234.0
554,North East/Yorkshire,20133,2013,10070.210000000001
577,North West (South),20133,2013,0.0
530,Non EU,20133,2013,448355.7
657,West Midlands (West),20133,2013,64654.88
621,South East/London,20133,2013,29917.73
645,West Midlands (East),20133,2013,36396.89
593,Scotland,20133,2013,9210.8
633,South West,20133,2013,24376.89
455,EU,20133,2013,47725.69
484,East Anglia,20133,2013,38876.67
472,EU INV,20133,2013,2869.26
465,EU - OTHER  EUROPE,20133,2013,1463.95
542,North East,20133,2013,29051.7
605,Scotland Depot,20133,2013,0.0
566,North West,20133,2013,43125.21
609,South Coast,20133,2013,34097.85
443,Central/E.Anglia,20133,2013,29167.68
658,West Midlands (West),20134,2013,54679.69
585,Northern Ireland,20134,2013,846.0
456,EU,20134,2013,29563.45
473,EU INV,20134,2013,6076.14
509,House Account,20134,2013,243.87
485,East Anglia,20134,2013,43995.55
497,East Midlands,20134,2013,33094.88
634,South West,20134,2013,18166.61
567,North West,20134,2013,32443.25
622,South East/London,20134,2013,40965.590000000004
444,Central/E.Anglia,20134,2013,53407.44
594,Scotland,20134,2013,7882.36
543,North East,20134,2013,23832.64
466,EU - OTHER  EUROPE,20134,2013,158.42000000000002
531,Non EU,20134,2013,333066.28
520,London,20134,2013,929.26
555,North East/Yorkshire,20134,2013,11469.529999999999
578,North West (South),20134,2013,397.6
610,South Coast,20134,2013,30143.42
646,West Midlands (East),20134,2013,44085.45
556,North East/Yorkshire,20135,2013,13876.91
532,Non EU,20135,2013,442458.0
486,East Anglia,20135,2013,25605.12
467,EU - OTHER  EUROPE,20135,2013,1414.9
457,EU,20135,2013,20215.03
510,House Account,20135,2013,2034.16
474,EU INV,20135,2013,2610.04
498,East Midlands,20135,2013,29371.62
521,London,20135,2013,1287.3600000000001
544,North East,20135,2013,30096.71
595,Scotland,20135,2013,17567.8
568,North West,20135,2013,22682.57
611,South Coast,20135,2013,34431.84
445,Central/E.Anglia,20135,2013,25887.55
623,South East/London,20135,2013,34798.7
606,Scotland Depot,20135,2013,0.0
647,West Midlands (East),20135,2013,47210.26
635,South West,20135,2013,22692.2
659,West Midlands (West),20135,2013,36959.96
668,none,20135,2013,303.1
446,Central/E.Anglia,20136,2013,37520.92
475,EU INV,20136,2013,5301.44
660,West Midlands (West),20136,2013,20837.06
669,none,20136,2013,484.96
636,South West,20136,2013,27444.11
499,East Midlands,20136,2013,18441.36
624,South East/London,20136,2013,28412.45
648,West Midlands (East),20136,2013,41602.07
586,Northern Ireland,20136,2013,2000.46
522,London,20136,2013,101.13
596,Scotland,20136,2013,12677.15
569,North West,20136,2013,28054.579999999998
487,East Anglia,20136,2013,13331.39
511,House Account,20136,2013,412.90000000000003
612,South Coast,20136,2013,30059.16
557,North East/Yorkshire,20136,2013,11550.47
458,EU,20136,2013,34461.520000000004
533,Non EU,20136,2013,536655.62
545,North East,20136,2013,20169.329999999998
512,House Account,20137,2013,0.0
488,East Anglia,20137,2013,42102.51
570,North West,20137,2013,42183.93
613,South Coast,20137,2013,26124.25
587,Northern Ireland,20137,2013,2684.44
661,West Midlands (West),20137,2013,15695.28
637,South West,20137,2013,48587.29
500,East Midlands,20137,2013,23446.81
579,North West (South),20137,2013,1042.23
546,North East,20137,2013,35957.7
597,Scotland,20137,2013,11239.37
523,London,20137,2013,969.72
625,South East/London,20137,2013,48034.65
558,North East/Yorkshire,20137,2013,6378.01
468,EU - OTHER  EUROPE,20137,2013,126.2
459,EU,20137,2013,34272.34
534,Non EU,20137,2013,371658.94
476,EU INV,20137,2013,5763.27
649,West Midlands (East),20137,2013,34823.16
447,Central/E.Anglia,20137,2013,54205.73
489,East Anglia,20138,2013,60847.5
598,Scotland,20138,2013,2770.55
559,North East/Yorkshire,20138,2013,16001.66
524,London,20138,2013,13697.52
547,North East,20138,2013,23280.78
571,North West,20138,2013,25011.920000000002
513,House Account,20138,2013,1915.52
588,Northern Ireland,20138,2013,846.0
614,South Coast,20138,2013,30127.59
650,West Midlands (East),20138,2013,28490.06
662,West Midlands (West),20138,2013,37124.76
501,East Midlands,20138,2013,20045.46
477,EU INV,20138,2013,31460.0
638,South West,20138,2013,28967.579999999998
460,EU,20138,2013,79356.6
448,Central/E.Anglia,20138,2013,59358.770000000004
535,Non EU,20138,2013,246436.15
580,North West (South),20138,2013,13.5
626,South East/London,20138,2013,52982.89
615,South Coast,20139,2013,44465.92
639,South West,20139,2013,23413.75
449,Central/E.Anglia,20139,2013,21660.65
581,North West (South),20139,2013,656.8399999999999
627,South East/London,20139,2013,62734.67
651,West Midlands (East),20139,2013,25543.48
560,North East/Yorkshire,20139,2013,9093.67
572,North West,20139,2013,43188.85
548,North East,20139,2013,22295.0
599,Scotland,20139,2013,4860.62
514,House Account,20139,2013,46.8
502,East Midlands,20139,2013,25126.59
525,London,20139,2013,2079.04
589,Northern Ireland,20139,2013,1300.2
490,East Anglia,20139,2013,50996.66
663,West Midlands (West),20139,2013,30210.6
478,EU INV,20139,2013,3276.34
536,Non EU,20139,2013,487442.35
461,EU,20139,2013,10558.8
832,Scotland,20141,2014,10323.97
700,EU INV,20141,2014,3069.73
844,South Coast,20141,2014,37115.3
822,North West (South),20141,2014,603.1899999999999
734,House Account,20141,2014,235.0
905,West Midlands (West),20141,2014,33042.2
774,Non EU,20141,2014,286233.26
722,East Midlands,20141,2014,22316.4
746,London,20141,2014,287.04
798,North East/Yorkshire,20141,2014,24996.07
810,North West,20141,2014,53803.75
786,North East,20141,2014,29317.4
694,EU - OTHER  EUROPE,20141,2014,1414.9
670,Central/E.Anglia,20141,2014,19787.37
877,South West,20141,2014,13903.53
893,West Midlands (East),20141,2014,57351.44
865,South East/London,20141,2014,34888.51
682,EU,20141,2014,18996.17
712,East Anglia,20141,2014,48677.75
906,West Midlands (West),20142,2014,20701.18
723,East Midlands,20142,2014,27177.84
811,North West,20142,2014,81663.15
775,Non EU,20142,2014,289855.22
889,West Midlands,20142,2014,388.2
799,North East/Yorkshire,20142,2014,10264.16
695,EU - OTHER  EUROPE,20142,2014,1414.9
747,London,20142,2014,10179.560000000001
833,Scotland,20142,2014,5638.0
735,House Account,20142,2014,282.0
823,North West (South),20142,2014,253.12
845,South Coast,20142,2014,28917.08
701,EU INV,20142,2014,5650.54
683,EU,20142,2014,35343.08
866,South East/London,20142,2014,15405.84
894,West Midlands (East),20142,2014,36430.13
878,South West,20142,2014,28642.82
713,East Anglia,20142,2014,25384.46
787,North East,20142,2014,26718.21
671,Central/E.Anglia,20142,2014,30927.16
776,Non EU,20143,2014,370106.70999999996
907,West Midlands (West),20143,2014,12793.4
736,House Account,20143,2014,0.0
824,North West (South),20143,2014,54.8
879,South West,20143,2014,21507.62
672,Central/E.Anglia,20143,2014,20050.13
684,EU,20143,2014,8818.93
788,North East,20143,2014,50541.61
714,East Anglia,20143,2014,34517.01
748,London,20143,2014,7584.16
800,North East/Yorkshire,20143,2014,12420.14
895,West Midlands (East),20143,2014,18827.02
834,Scotland,20143,2014,9284.68
846,South Coast,20143,2014,36599.99
702,EU INV,20143,2014,1190.56
812,North West,20143,2014,96504.38
867,South East/London,20143,2014,18973.67
724,East Midlands,20143,2014,31334.09
813,North West,20144,2014,102586.49
715,East Anglia,20144,2014,25454.12
749,London,20144,2014,1804.74
847,South Coast,20144,2014,35331.97
725,East Midlands,20144,2014,34467.200000000004
789,North East,20144,2014,39082.94
737,House Account,20144,2014,859.34
825,North West (South),20144,2014,13.5
880,South West,20144,2014,22590.66
703,EU INV,20144,2014,2585.2000000000003
777,Non EU,20144,2014,224100.83
673,Central/E.Anglia,20144,2014,17323.18
856,South East,20144,2014,93.65
868,South East/London,20144,2014,36425.31
758,Midlands,20144,2014,5027.5
685,EU,20144,2014,56039.05
801,North East/Yorkshire,20144,2014,12629.43
835,Scotland,20144,2014,4065.32
908,West Midlands (West),20144,2014,13540.39
896,West Midlands (East),20144,2014,44563.71
857,South East,20145,2014,1045.05
848,South Coast,20145,2014,46302.42
674,Central/E.Anglia,20145,2014,29047.07
704,EU INV,20145,2014,560.39
790,North East,20145,2014,40003.840000000004
750,London,20145,2014,3683.89
802,North East/Yorkshire,20145,2014,11158.72
836,Scotland,20145,2014,2517.0
778,Non EU,20145,2014,315248.45999999996
716,East Anglia,20145,2014,45176.71
897,West Midlands (East),20145,2014,42955.44
726,East Midlands,20145,2014,15475.67
814,North West,20145,2014,66558.42
909,West Midlands (West),20145,2014,6146.67
881,South West,20145,2014,9368.07
759,Midlands,20145,2014,16268.710000000001
869,South East/London,20145,2014,32447.59
686,EU,20145,2014,30911.32
890,West Midlands,20145,2014,779.13
738,House Account,20145,2014,247.74
898,West Midlands (East),20146,2014,22517.21
803,North East/Yorkshire,20146,2014,7831.63
751,London,20146,2014,2459.04
815,North West,20146,2014,129921.87000000001
727,East Midlands,20146,2014,15508.56
717,East Anglia,20146,2014,37336.87
791,North East,20146,2014,25733.91
910,West Midlands (West),20146,2014,22021.56
826,Northern Ireland,20146,2014,944.2
675,Central/E.Anglia,20146,2014,16795.68
767,Midlands (South West),20146,2014,9205.66
779,Non EU,20146,2014,194880.08
739,House Account,20146,2014,0.0
696,EU - OTHER  EUROPE,20146,2014,1414.9
837,Scotland,20146,2014,7438.66
870,South East/London,20146,2014,80430.01
891,West Midlands,20146,2014,329.07
882,South West,20146,2014,35479.46
687,EU,20146,2014,54648.100000000006
705,EU INV,20146,2014,2654.5299999999997
849,South Coast,20146,2014,38203.31
760,Midlands,20146,2014,10071.08
858,South East,20146,2014,13871.09
740,House Account,20147,2014,766.06
728,East Midlands,20147,2014,12685.97
768,Midlands (South West),20147,2014,10378.16
718,East Anglia,20147,2014,36439.22
883,South West,20147,2014,12484.779999999999
752,London,20147,2014,526.96
804,North East/Yorkshire,20147,2014,7764.93
899,West Midlands (East),20147,2014,5621.51
761,Midlands,20147,2014,32626.829999999998
859,South East,20147,2014,11279.63
892,West Midlands,20147,2014,31.759999999999998
871,South East/London,20147,2014,28866.93
676,Central/E.Anglia,20147,2014,19390.73
850,South Coast,20147,2014,45846.24
688,EU,20147,2014,6799.15
706,EU INV,20147,2014,3230.34
911,West Midlands (West),20147,2014,6457.99
816,North West,20147,2014,58299.78
780,Non EU,20147,2014,307823.88
838,Scotland,20147,2014,10222.76
792,North East,20147,2014,38685.369999999995
762,Midlands,20148,2014,57546.53
827,Northern Ireland,20148,2014,65.0
697,EU - OTHER  EUROPE,20148,2014,2829.8
741,House Account,20148,2014,44.61
729,East Midlands,20148,2014,714.02
781,Non EU,20148,2014,278253.28
753,London,20148,2014,261.6
817,North West,20148,2014,126521.90000000001
839,Scotland,20148,2014,6386.52
872,South East/London,20148,2014,25346.030000000002
860,South East,20148,2014,15838.86
851,South Coast,20148,2014,40263.64
677,Central/E.Anglia,20148,2014,19696.85
884,South West,20148,2014,18369.97
912,West Midlands (West),20148,2014,2211.76
769,Midlands (South West),20148,2014,11407.79
793,North East,20148,2014,31380.989999999998
900,West Midlands (East),20148,2014,648.55
805,North East/Yorkshire,20148,2014,8855.5
689,EU,20148,2014,60454.16
707,EU INV,20148,2014,2271.73
678,Central/E.Anglia,20149,2014,14259.16
852,South Coast,20149,2014,45950.25
885,South West,20149,2014,25654.54
840,Scotland,20149,2014,6612.58
763,Midlands,20149,2014,41500.27
828,Northern Ireland,20149,2014,35.0
806,North East/Yorkshire,20149,2014,6310.12
913,West Midlands (West),20149,2014,407.03999999999996
770,Midlands (South West),20149,2014,22864.37
708,EU INV,20149,2014,4076.26
698,EU - OTHER  EUROPE,20149,2014,3241.5
794,North East,20149,2014,29627.16
742,House Account,20149,2014,667.5
754,London,20149,2014,0.0
730,East Midlands,20149,2014,842.1300000000001
782,Non EU,20149,2014,433558.39
818,North West,20149,2014,41665.4
901,West Midlands (East),20149,2014,475.67
861,South East,20149,2014,29101.17
873,South East/London,20149,2014,22160.34
690,EU,20149,2014,30417.350000000002
1130,South West,20151,2015,10388.029999999999
1118,South East/London,20151,2015,19738.59
1156,West Midlands (West),20151,2015,641.25
945,EU INV,20151,2015,3217.62
1057,North East/Yorkshire,20151,2015,7910.79
929,EU,20151,2015,8170.8
1144,West Midlands (East),20151,2015,137.65
1142,Southern Ireland,20151,2015,73.95
1069,North West,20151,2015,66585.17
991,Midlands,20151,2015,48936.86
968,House Account,20151,2015,364.15000000000003
1100,South Coast,20151,2015,33189.09
1081,Northern Ireland,20151,2015,789.72
1045,North East,20151,2015,31212.99
980,London,20151,2015,371.88
917,Central/E.Anglia,20151,2015,15634.1
1088,Scotland,20151,2015,4487.42
1002,Midlands (South West),20151,2015,35333.8
1024,Non EU,20151,2015,429719.78
1112,South East,20151,2015,32224.27
1101,South Coast,20152,2015,38695.56
1003,Midlands (South West),20152,2015,19754.96
981,London,20152,2015,966.62
941,EU - OTHER  EUROPE,20152,2015,1236.47
1082,Northern Ireland,20152,2015,1250.4
918,Central/E.Anglia,20152,2015,8791.13
1145,West Midlands (East),20152,2015,3152.74
1157,West Midlands (West),20152,2015,202.67000000000002
1089,Scotland,20152,2015,6127.35
992,Midlands,20152,2015,56193.31
969,House Account,20152,2015,0.0
946,EU INV,20152,2015,11068.99
1119,South East/London,20152,2015,24350.06
1070,North West,20152,2015,63595.41
1131,South West,20152,2015,5479.2300000000005
930,EU,20152,2015,40230.22
1046,North East,20152,2015,29319.75
960,East Midlands,20152,2015,742.22
1025,Non EU,20152,2015,389441.37
1113,South East,20152,2015,31128.15
1058,North East/Yorkshire,20152,2015,13762.54
1047,North East,20153,2015,31295.04
961,East Midlands,20153,2015,739.1
931,EU,20153,2015,28053.03
919,Central/E.Anglia,20153,2015,12758.59
1158,West Midlands (West),20153,2015,1028.52
1146,West Midlands (East),20153,2015,6568.53
993,Midlands,20153,2015,94879.36
1004,Midlands (South West),20153,2015,17399.46
1071,North West,20153,2015,33125.05
1120,South East/London,20153,2015,34433.97
1132,South West,20153,2015,7793.34
947,EU INV,20153,2015,3990.25
1059,North East/Yorkshire,20153,2015,6077.67
1026,Non EU,20153,2015,344235.14
1114,South East,20153,2015,27849.3
970,House Account,20153,2015,0.0
1090,Scotland,20153,2015,13632.3
1102,South Coast,20153,2015,48323.52
1072,North West,20154,2015,96211.05
1060,North East/Yorkshire,20154,2015,4109.92
982,London,20154,2015,194.11
1133,South West,20154,2015,6469.67
948,EU INV,20154,2015,2524.84
932,EU,20154,2015,21987.81
