,CustomerID,YearMonth,Year,InvoiceAmt
1057,84,20113,2011,1630.15
1385,S1193,20113,2011,87.66
1393,S1198,20113,2011,184.46
1407,S1203,20113,2011,529.41
1067,85,20113,2011,21.09
1070,86,20113,2011,47.22
2277,S1736,20113,2011,10466.619999999999
206,1504,20113,2011,10099.6
3739,s654,20113,2011,11148.48
3177,S473,20113,2011,174.03
2962,S2321,20113,2011,122.5
1008,791,20113,2011,20401.31
1459,S1252,20113,2011,9562.619999999999
1465,S126,20113,2011,17.83
1469,S1265,20113,2011,281.49
1018,801,20113,2011,22081.77
3208,S511,20113,2011,1235.5
2937,S230,20113,2011,179.13
2248,S1723,20113,2011,15.75
2264,S1730,20113,2011,11315.86
216,1506,20113,2011,2019.6
224,1512,20113,2011,1645.2
1453,S1250,20113,2011,2792.4
1418,S1212,20113,2011,4135.58
1430,S1219,20113,2011,252.8
3214,S523,20113,2011,196.13
1028,805,20113,2011,3516.0
3245,S639,20113,2011,141.0
3251,S646,20113,2011,250.9
971,75,20113,2011,18894.51
1483,S1269,20113,2011,21152.46
2916,S2282,20113,2011,406.08
2919,S2289,20113,2011,735.8
981,752,20113,2011,628.02
989,762,20113,2011,28.33
990,767,20113,2011,874.3
238,1522,20113,2011,853.44
2224,S1706,20113,2011,0.0
2238,S1721,20113,2011,1871.37
3711,s236,20113,2011,13.100000000000001
3714,s26,20113,2011,609.54
1000,771,20113,2011,130.8
3234,S607,20113,2011,2567.97
1521,S13,20113,2011,195.0
1522,S1300,20113,2011,199.02
1530,S1320,20113,2011,0.0
1537,S1322,20113,2011,264.0
3265,S654,20113,2011,10435.29
3275,S655,20113,2011,36.25
962,67,20113,2011,553.54
2897,S2250,20113,2011,782.65
3723,s3,20113,2011,108.50999999999999
2196,S1696,20113,2011,1590.77
2211,S1702,20113,2011,291.54
253,1545,20113,2011,27.16
3699,s2298,20113,2011,8547.76
3702,s2311,20113,2011,22.75
1505,S1294,20113,2011,266.2
1512,S1297,20113,2011,428.13
1567,S1348,20113,2011,345.0
921,563,20113,2011,471.0
929,58,20113,2011,6913.62
2876,S2220,20113,2011,1428.07
258,1575,20113,2011,203.39000000000001
2449,S1871,20113,2011,130.0
2458,S1872,20113,2011,56.7
2189,S1694,20113,2011,1876.44
265,158,20113,2011,965.33
274,1592,20113,2011,0.0
2880,S2225,20113,2011,239.25
2887,S2246,20113,2011,140.8
1553,S1334,20113,2011,545.74
945,610,20113,2011,455.78999999999996
952,628,20113,2011,30739.94
3255,S647,20113,2011,153.85
887,477,20113,2011,3079.57
3303,S70,20113,2011,345.56
903,507,20113,2011,80.04
2862,S2205,20113,2011,488.7
2867,S2218,20113,2011,159.92000000000002
2871,S2219,20113,2011,243.03
1581,S1354,20113,2011,984.3
909,526,20113,2011,2310.87
3287,S665,20113,2011,386.1
3293,S67,20113,2011,1621.68
282,1602,20113,2011,187.31
3689,s2270,20113,2011,157.8
3659,s1977,20113,2011,153.7
3667,s2004,20113,2011,105.64
3676,s2022,20113,2011,494.22
1562,S1341,20113,2011,7.6
1639,S1390,20113,2011,62.62
2805,S2165,20113,2011,60.7
1598,S1364,20113,2011,2529.07
1608,S1367,20113,2011,109.76
1614,S1371,20113,2011,266.65999999999997
1617,S1378,20113,2011,54.25
3312,S71,20113,2011,350.0
3315,S717,20113,2011,372.81
3317,S723,20113,2011,1323.55
2179,S1688,20113,2011,78.64
2185,S1693,20113,2011,587.5
290,1607,20113,2011,3922.44
302,1616,20113,2011,35589.24
1588,S1361,20113,2011,4967.57
2831,S2191,20113,2011,772.14
2841,S2193,20113,2011,880.3100000000001
829,442,20113,2011,139.98
1651,S1402,20113,2011,1017.06
1660,S1412,20113,2011,7153.96
1670,S1413,20113,2011,29.91
1671,S1422,20113,2011,65.0
1672,S1425,20113,2011,316.97
3325,S724,20113,2011,2778.1800000000003
2812,S2177,20113,2011,4290.41
2822,S2179,20113,2011,7175.51
2477,S19,20113,2011,2618.02
2166,S1683,20113,2011,0.0
322,1669,20113,2011,987.31
3643,s1873,20113,2011,5492.42
1643,S1392,20113,2011,696.64
3335,S73,20113,2011,86.58
1635,S1389,20113,2011,699.16
2790,S2143,20113,2011,2261.54
789,431,20113,2011,5595.26
799,433,20113,2011,879.96
805,435,20113,2011,170.68
807,439,20113,2011,605.84
809,440,20113,2011,553.0600000000001
3359,S75,20113,2011,966.37
819,441,20113,2011,3636.93
1679,S1432,20113,2011,259.82
3652,s19,20113,2011,1410.06
2485,S1902,20113,2011,1320.34
2159,S1679,20113,2011,1393.67
330,167,20113,2011,582.87
332,170,20113,2011,11089.28
336,1704,20113,2011,1221.33
346,1712,20113,2011,4702.38
3381,S766,20113,2011,337.7
759,416,20113,2011,408.4
2799,S2145,20113,2011,45.83
1709,S1442,20113,2011,2365.31
1720,S1448,20113,2011,28.52
2781,S2130,20113,2011,248.8
2768,S2118,20113,2011,844.4
767,423,20113,2011,15519.0
2138,S1672,20113,2011,442.32
2146,S1673,20113,2011,61.769999999999996
3636,s1818,20113,2011,2761.6000000000004
3637,s1849,20113,2011,158.47
356,1718,20113,2011,285.58
774,425,20113,2011,0.0
1700,S1440,20113,2011,74.42
2783,S2135,20113,2011,742.75
3402,S799,20113,2011,900.0
733,393,20113,2011,29.25
1746,S1455,20113,2011,57.04
2754,S2108,20113,2011,1041.06
2759,S2110,20113,2011,1026.24
740,400,20113,2011,33.61
752,413,20113,2011,366.01000000000005
2775,S2128,20113,2011,67.64
1731,S1451,20113,2011,157.68
1737,S1454,20113,2011,323.4
3368,S751,20113,2011,785.9
2121,S1646,20113,2011,66.86
2510,S1926,20113,2011,174.01999999999998
2519,S1927,20113,2011,270.1
367,1726,20113,2011,220.95
377,1729,20113,2011,828.5
2731,S2085,20113,2011,37.38
2733,S2086,20113,2011,1192.8
2735,S2088,20113,2011,64.35
2738,S2090,20113,2011,991.14
2525,S1932,20113,2011,281.9
2111,S1643,20113,2011,114.08
2113,S1644,20113,2011,450.34
393,1758,20113,2011,4051.9500000000003
3612,s1412,20113,2011,1256.46
3625,s1519,20113,2011,839.47
2098,S1633,20113,2011,362.31
712,374,20113,2011,8170.2
720,388,20113,2011,1509.15
3383,S777,20113,2011,16.74
3390,S78,20113,2011,51.52
3400,S798,20113,2011,179.25
3426,S824,20113,2011,393.9
2721,S2081,20113,2011,224.77
1809,S1487,20113,2011,954.33
3436,S828,20113,2011,7190.13
1790,S1480,20113,2011,13090.24
1802,S1484,20113,2011,439.41
2715,S2077,20113,2011,543.86
2717,S2078,20113,2011,454.14
3409,S816,20113,2011,225.96
704,365,20113,2011,527.2
708,373,20113,2011,270.0
3593,s1212,20113,2011,30.15
3603,s13,20113,2011,142.35
403,1764,20113,2011,3426.0
2542,S1940,20113,2011,235.68
1783,S1478,20113,2011,321.96
642,311,20113,2011,0.0
650,327,20113,2011,237.75
659,328,20113,2011,1266.19
2555,S1952,20113,2011,465.67999999999995
2090,S1625,20113,2011,173.4
407,1783,20113,2011,5112.0
3580,s100,20113,2011,27.78
3582,s102,20113,2011,181.25
3583,s1075,20113,2011,74.86
408,1793,20113,2011,3861.3700000000003
417,1803,20113,2011,20900.5
2574,S1971,20113,2011,982.11
2705,S2070,20113,2011,45.1
1825,S1492,20113,2011,721.1700000000001
1829,S1494,20113,2011,67.82
683,349,20113,2011,22.42
630,3,20113,2011,0.0
632,30,20113,2011,786.91
3450,S84,20113,2011,83.2
1843,S15,20113,2011,1226.5
1855,S1502,20113,2011,118.92
1857,S1504,20113,2011,94.32
3458,S840,20113,2011,157.08
3462,S852,20113,2011,1143.2
2076,S1614,20113,2011,32.31
2079,S1617,20113,2011,364.57
2085,S1624,20113,2011,263.07
427,1819,20113,2011,17538.52
437,1827,20113,2011,581.8000000000001
2693,S2061,20113,2011,839.76
1833,S1497,20113,2011,142.6
1834,S1498,20113,2011,1035.44
610,262,20113,2011,2595.75
3476,S866,20113,2011,494.55
3480,S869,20113,2011,300.0
3485,S870,20113,2011,98.15
3488,S877,20113,2011,430.46
2070,S1605,20113,2011,317.06
2562,S1955,20113,2011,66.4
2563,S1956,20113,2011,661.3
3550,S980,20113,2011,32.54
3556,S986,20113,2011,425.01
3562,S99,20113,2011,177.0
3563,S995,20113,2011,1811.44
2026,S1579,20113,2011,362.49
1872,S1516,20113,2011,236.91000000000003
2660,S2035,20113,2011,7383.679999999999
2668,S2037,20113,2011,7535.89
2635,S2007,20113,2011,324.24
2640,S2009,20113,2011,345.59000000000003
2651,S2024,20113,2011,1855.09
577,2123,20113,2011,63.9
2680,S2050,20113,2011,1635.3999999999999
1881,S1521,20113,2011,355.14
1891,S1522,20113,2011,85.25
582,226,20113,2011,17.98
589,255,20113,2011,1045.17
2035,S158,20113,2011,239.05
2041,S1588,20113,2011,1760.3
447,1830,20113,2011,1195.58
458,1850,20113,2011,261.24
467,1856,20113,2011,973.0999999999999
2009,S156,20113,2011,169.2
599,257,20113,2011,159.15
2621,S2004,20113,2011,6845.91
2631,S2006,20113,2011,123.30000000000001
1925,S1534,20113,2011,0.0
555,20,20113,2011,2827.76
1913,S1528,20113,2011,1900.0
1920,S1531,20113,2011,8.04
2583,S1979,20113,2011,39.17
2586,S1981,20113,2011,576.29
2590,S1982,20113,2011,537.87
2017,S1563,20113,2011,374.0
474,1857,20113,2011,1362.0
477,1863,20113,2011,23474.5
489,1882,20113,2011,2627.06
1986,S1551,20113,2011,699.8
1900,S1524,20113,2011,72.67
1903,S1527,20113,2011,5591.56
2608,S1987,20113,2011,199.52
3516,S921,20113,2011,701.87
1929,S1535,20113,2011,154.94
1930,S1539,20113,2011,1745.31
1991,S1552,20113,2011,57.91
1995,S1555,20113,2011,56.39
2006,S1559,20113,2011,224.88
496,1898,20113,2011,320.06
505,1903,20113,2011,519.6700000000001
1949,S1540,20113,2011,467.31
1953,S1541,20113,2011,17.83
1954,S1542,20113,2011,2141.89
537,1979,20113,2011,4826.28
540,1992,20113,2011,57.81
543,1995,20113,2011,1295.7
548,2,20113,2011,18657.0
1184,S102,20113,2011,72.5
3092,S312,20113,2011,296.94
1269,S1140,20113,2011,711.5
2375,S1801,20113,2011,1397.4
2381,S1802,20113,2011,851.81
2353,S1774,20113,2011,103.08
62,11,20113,2011,1228.24
3762,s962,20113,2011,1270.27
2389,S1803,20113,2011,33.15
1279,S1141,20113,2011,41.88
1284,S1145,20113,2011,104.0
1291,S1154,20113,2011,191.71
3099,S316,20113,2011,112.76
3086,S30,20113,2011,142.5
1186,S1021,20113,2011,332.62
1196,S1024,20113,2011,64.11
139,1247,20113,2011,150.92
136,1245,20113,2011,101.39999999999999
126,1225,20113,2011,6530.66
125,122,20113,2011,9.0
83,1130,20113,2011,14105.210000000001
79,112,20113,2011,4116.5
2367,S1790,20113,2011,45.4
1212,S106,20114,2011,343.63
3050,S249,20114,2011,711.2900000000001
3042,S243,20114,2011,48.93000000000001
1963,S1546,20114,2011,4955.3
38,1065,20114,2011,1739.0
94,1144,20114,2011,151.57999999999998
114,1187,20114,2011,505.25
102,1160,20114,2011,8164.099999999999
22,1058,20114,2011,18936.18
1232,S1106,20114,2011,46.8
147,13,20114,2011,2582.72
137,1245,20114,2011,0.0
121,121,20114,2011,1268.4
3345,S743,20114,2011,421.92
3342,S731,20114,2011,0.0
3326,S724,20114,2011,4872.07
1256,S1125,20114,2011,507.84
1252,S112,20114,2011,306.44
1241,S1111,20114,2011,324.0
1185,S102,20114,2011,730.13
1931,S1539,20114,2011,1891.0
3517,S921,20114,2011,713.49
3506,S90,20114,2011,147.9
2609,S1987,20114,2011,145.14
2601,S1983,20114,2011,472.14
1955,S1542,20114,2011,191.98
3535,S962,20114,2011,1180.02
3533,S95,20114,2011,250.02
127,1225,20114,2011,10713.31
2361,S1783,20114,2011,0.0
84,1130,20114,2011,5216.15
1214,S1069,20114,2011,73.35
558,2011,20114,2011,101.16
3502,S89,20114,2011,296.45
3497,S888,20114,2011,386.64
3489,S877,20114,2011,601.56
2632,S2006,20114,2011,570.46
2622,S2004,20114,2011,2518.31
549,2,20114,2011,7561.45
531,1941,20114,2011,500.24
1181,S1016,20114,2011,63.0
1172,S1011,20114,2011,1460.44
3030,S24,20114,2011,18963.78
158,1320,20114,2011,0.0
71,1119,20114,2011,1392.5
2330,S1756,20114,2011,4236.25
2323,S1755,20114,2011,353.7
2314,S1754,20114,2011,47.08
2644,S2011,20114,2011,611.0799999999999
2641,S2009,20114,2011,564.65
1904,S1527,20114,2011,1012.54
478,1863,20114,2011,5692.09
475,1857,20114,2011,4114.5
2591,S1982,20114,2011,640.33
3020,S236,20114,2011,571.53
1160,S10,20114,2011,569.3
1149,IR9,20114,2011,0.0
1148,IR7,20114,2011,86.08
1143,IR5,20114,2011,1744.2
1134,IR4,20114,2011,483.0
1315,S1169,20114,2011,754.04
1308,S1158,20114,2011,270.45
2010,S156,20114,2011,169.2
1914,S1528,20114,2011,4028.51
2040,S1584,20114,2011,0.0
588,254,20114,2011,157.45
584,24,20114,2011,789.88
1892,S1522,20114,2011,85.25
1882,S1521,20114,2011,50.0
578,2123,20114,2011,319.5
1301,S1156,20114,2011,325.38
3108,S34,20114,2011,62.84
3013,S2358,20114,2011,1410.0
3142,S453,20114,2011,38.94
177,136,20114,2011,0.0
168,1351,20114,2011,830.5
2413,S184,20114,2011,270.0
2403,S1818,20114,2011,413.79999999999995
561,2027,20114,2011,98.02000000000001
2652,S2024,20114,2011,48.0
611,262,20114,2011,818.86
609,258,20114,2011,77.54
600,257,20114,2011,217.64
590,255,20114,2011,1707.55
2007,S1559,20114,2011,35.18
468,1856,20114,2011,774.9
459,1850,20114,2011,2717.9
448,1830,20114,2011,926.11
2297,S1739,20114,2011,159.5
160,1341,20114,2011,523.9100000000001
3136,S433,20114,2011,552.84
3126,S42,20114,2011,253.37
1351,S1186,20114,2011,2161.2599999999998
1342,S1182,20114,2011,1246.6
3153,S462,20114,2011,481.47
3146,S458,20114,2011,684.04
618,273,20114,2011,149.4
2669,S2037,20114,2011,1212.86
2661,S2035,20114,2011,2526.97
2027,S1579,20114,2011,758.75
3564,S995,20114,2011,670.77
3557,S986,20114,2011,450.06
3544,S964,20114,2011,66.04
1366,S1190,20114,2011,475.94
1361,S1187,20114,2011,25.35
3005,S2352,20114,2011,0.0
3001,S2343,20114,2011,278.11
3000,S2342,20114,2011,0.0
193,1408,20114,2011,0.0
2292,S1738,20114,2011,306.75
2423,S1859,20114,2011,40.54
187,140,20114,2011,147.68
2681,S2050,20114,2011,1016.2
3463,S852,20114,2011,1261.53
3459,S840,20114,2011,285.2
3451,S84,20114,2011,622.1
1865,S1514,20114,2011,924.8
1858,S1504,20114,2011,528.9300000000001
1844,S15,20114,2011,352.0
633,30,20114,2011,1540.94
1105,IR2222,20114,2011,0.0
1100,IR13,20114,2011,0.0
1096,IR12,20114,2011,1393.03
1376,S1192,20114,2011,56.65
2991,S2341,20114,2011,63.34
2978,S2330,20114,2011,217.07
1086,99,20114,2011,1723.75
621,294,20114,2011,65.93
1835,S1498,20114,2011,1131.19
2694,S2061,20114,2011,562.43
2053,S1597,20114,2011,1683.7
438,1827,20114,2011,218.19
428,1819,20114,2011,2179.2799999999997
1084,93,20114,2011,0.0
1079,90,20114,2011,197.0
1075,863,20114,2011,333.69
1071,86,20114,2011,47.22
2971,S2323,20114,2011,255.54999999999998
2958,S2316,20114,2011,154.94
3724,s3,20114,2011,243.4
207,1504,20114,2011,643.95
2278,S1736,20114,2011,8771.62
2080,S1617,20114,2011,108.75
2575,S1971,20114,2011,1323.0600000000002
3215,S523,20114,2011,125.24
682,345,20114,2011,1254.24
668,336,20114,2011,181.4
418,1803,20114,2011,2880.32
409,1793,20114,2011,362.28000000000003
2556,S1952,20114,2011,21.54
1820,S1489,20114,2011,303.78
2431,S1861,20114,2011,2195.63
205,150,20114,2011,673.0
3167,S471,20114,2011,672.09
1068,85,20114,2011,20.68
1406,S1201,20114,2011,152.28
1394,S1198,20114,2011,162.1
1386,S1193,20114,2011,516.35
660,328,20114,2011,615.26
651,327,20114,2011,0.0
696,356,20114,2011,286.51
686,352,20114,2011,54.42
3437,S828,20114,2011,1378.7
1819,S1488,20114,2011,164.25
1810,S1487,20114,2011,1641.69
2722,S2081,20114,2011,123.06
2718,S2078,20114,2011,117.13999999999999
3427,S824,20114,2011,38.17
1058,84,20114,2011,3473.4
1054,829,20114,2011,1793.7
3192,S479,20114,2011,231.82
1047,819,20114,2011,1215.0
2941,S2302,20114,2011,126.76
1408,S1203,20114,2011,129.56
1037,81,20114,2011,1154.19
1029,805,20114,2011,2482.91
1460,S1252,20114,2011,261.31
2103,S1637,20114,2011,679.0
1760,S1462,20114,2011,8.04
709,373,20114,2011,225.0
703,364,20114,2011,347.1
3419,S82,20114,2011,331.99
3410,S816,20114,2011,143.87
1431,S1219,20114,2011,258.0
1419,S1212,20114,2011,2492.61
1454,S1250,20114,2011,2142.36
225,1512,20114,2011,34.66
217,1506,20114,2011,1100.0
2265,S1730,20114,2011,8897.28
2254,S1724,20114,2011,411.97
2249,S1723,20114,2011,33.9
1791,S1480,20114,2011,2317.43
1001,771,20114,2011,85.5
246,1540,20114,2011,5067.1
245,1538,20114,2011,98.0
2239,S1721,20114,2011,5959.93
2746,S2103,20114,2011,84.48
2743,S21,20114,2011,0.0
2742,S2099,20114,2011,963.28
2739,S2090,20114,2011,363.95
2549,S1950,20114,2011,447.5
2543,S1940,20114,2011,381.3
3594,s1212,20114,2011,632.06
3740,s654,20114,2011,4165.4800000000005
3213,S52,20114,2011,259.5
3203,S498,20114,2011,128.7
1019,801,20114,2011,2038.39
1470,S1265,20114,2011,551.97
394,1758,20114,2011,150.0
2114,S1644,20114,2011,210.38
2526,S1932,20114,2011,75.76
2520,S1927,20114,2011,339.0
2231,S1712,20114,2011,743.22
239,1522,20114,2011,0.0
991,767,20114,2011,1212.63
982,752,20114,2011,5750.16
2927,S2290,20114,2011,603.32
2920,S2289,20114,2011,1553.94
1484,S1269,20114,2011,1137.08
1502,S1292,20114,2011,41.2
1493,S128,20114,2011,270.0
2912,S2263,20114,2011,65.6
1009,791,20114,2011,143368.45
3235,S607,20114,2011,1922.01
2212,S1702,20114,2011,68.94
2197,S1696,20114,2011,2812.84
2769,S2118,20114,2011,0.0
753,413,20114,2011,221.0
741,400,20114,2011,4342.42
737,395,20114,2011,190.9
2760,S2110,20114,2011,84.62
2755,S2108,20114,2011,267.54
734,393,20114,2011,1282.79
3403,S799,20114,2011,829.52
3391,S78,20114,2011,112.62
3384,S777,20114,2011,149.26
730,389,20114,2011,2774.34
721,388,20114,2011,1570.96
714,377,20114,2011,2288.0
3613,s1412,20114,2011,757.02
3266,S654,20114,2011,6250.93
1538,S1322,20114,2011,104.42
1531,S1320,20114,2011,0.0
1529,S1317,20114,2011,472.0
1523,S1307,20114,2011,190.14
368,1726,20114,2011,883.8
2511,S1926,20114,2011,786.85
2498,S1916,20114,2011,786.21
3369,S751,20114,2011,51.58
2778,S2129,20114,2011,325.6
972,75,20114,2011,16329.12
3252,S646,20114,2011,275.85
3246,S639,20114,2011,245.0
3244,S637,20114,2011,1493.72
1513,S1297,20114,2011,516.9
3703,s2311,20114,2011,1693.7
2450,S1871,20114,2011,82.05000000000001
2440,S1869,20114,2011,35.0
259,1575,20114,2011,598.46
2130,S1668,20114,2011,275.12
2127,S1664,20114,2011,197.22
768,423,20114,2011,3325.5
763,417,20114,2011,44.4
1721,S1448,20114,2011,28.52
2107,S1638,20114,2011,229.41
386,1746,20114,2011,2307.3
378,1729,20114,2011,736.12
2190,S1694,20114,2011,857.78
3715,s26,20114,2011,468.58
2898,S2250,20114,2011,958.31
2888,S2246,20114,2011,140.8
3276,S655,20114,2011,84.12
3677,s2022,20114,2011,535.44
3668,s2004,20114,2011,58.56
2791,S2143,20114,2011,1059.05
2786,S2141,20114,2011,53.4
1706,S1441,20114,2011,12.0
1701,S1440,20114,2011,185.64
775,425,20114,2011,0.0
357,1718,20114,2011,700.9
347,1712,20114,2011,84.22
2147,S1673,20114,2011,175.95
2139,S1672,20114,2011,552.1
953,628,20114,2011,50064.67
946,610,20114,2011,113.81
939,59,20114,2011,5056.3
1554,S1334,20114,2011,381.26
266,158,20114,2011,416.34
2153,S1676,20114,2011,46.74
2486,S1902,20114,2011,1038.92
3653,s19,20114,2011,390.31
820,441,20114,2011,4180.57
3360,S75,20114,2011,824.61
810,440,20114,2011,124.53999999999999
800,434,20114,2011,4059.67
790,431,20114,2011,7141.95
1545,S1325,20114,2011,39.0
930,58,20114,2011,619.36
922,563,20114,2011,1074.5
918,56,20114,2011,650.04
2849,S220,20114,2011,32.54
1568,S1348,20114,2011,315.6
2461,S1883,20114,2011,203.92000000000002
283,1602,20114,2011,300.4
300,1609,20114,2011,373.0
835,445,20114,2011,1217.1699999999998
3351,S749,20114,2011,73.35
833,443,20114,2011,18366.7
830,442,20114,2011,36.03
1693,S1437,20114,2011,142.4
1687,S1436,20114,2011,1257.9099999999999
1680,S1432,20114,2011,1331.54
337,1704,20114,2011,1315.98
3660,s1977,20114,2011,135.8
3691,s2276,20114,2011,154.85999999999999
910,526,20114,2011,5079.45
3294,S67,20114,2011,1702.4299999999998
3288,S665,20114,2011,225.1
1582,S1354,20114,2011,66.92
904,507,20114,2011,212.4
2813,S2177,20114,2011,1620.35
850,451,20114,2011,0.0
847,448,20114,2011,568.56
1673,S1425,20114,2011,284.72
1661,S1412,20114,2011,7080.04
1652,S1402,20114,2011,26.66
840,447,20114,2011,6911.920000000001
888,477,20114,2011,1112.2
1589,S1361,20114,2011,2223.43
2842,S2193,20114,2011,333.83000000000004
2832,S2191,20114,2011,57.620000000000005
2830,S2189,20114,2011,19.189999999999998
876,471,20114,2011,859.39
2467,S1892,20114,2011,94.84
313,1641,20114,2011,1043.0
303,1616,20114,2011,918.49
1644,S1392,20114,2011,18.98
3644,s1873,20114,2011,44.05
3638,s1849,20114,2011,31.6
323,1669,20114,2011,574.75
2167,S1683,20114,2011,2040.72
291,1607,20114,2011,13142.18
2177,S1686,20114,2011,478.44
3318,S723,20114,2011,309.3
3306,S707,20114,2011,132.5
1599,S1364,20114,2011,1534.06
2806,S2170,20114,2011,19.8
1640,S1390,20114,2011,62.62
1636,S1389,20114,2011,475.0
2164,S1682,20114,2011,330.4
2478,S19,20114,2011,3532.57
2823,S2179,20114,2011,220.05
1950,S1540,20114,2011,287.0
1940,S154,20114,2011,694.32
506,1903,20114,2011,241.64
497,1898,20114,2011,549.8199999999999
2002,S1557,20114,2011,150.26
1996,S1555,20114,2011,53.41
1987,S1551,20114,2011,47.27
1280,S1141,20114,2011,62.089999999999996
2391,S1808,20114,2011,5.4
3763,s962,20114,2011,760.5
2354,S1774,20114,2011,197.15
2347,S1772,20114,2011,54.54
1270,S1140,20114,2011,924.14
3077,S3,20114,2011,2129.0099999999998
3068,S287,20114,2011,220.55
1197,S1024,20114,2011,50.83
1220,S109,20114,2011,51.68
1222,S110,20114,2011,298.03999999999996
1225,S1104,20114,2011,1578.37
1,100,20114,2011,1921.0
31,106,20114,2011,144.32000000000002
48,1079,20114,2011,3083.27
10,1028,20114,2011,4412.26
49,1079,20115,2011,6414.46
23,1058,20115,2011,61506.340000000004
32,106,20115,2011,156.96
2,100,20115,2011,366.4
3051,S249,20115,2011,514.6
3044,S247,20115,2011,160.0
1964,S1546,20115,2011,108.75
15,1039,20115,2011,15577.0
39,1065,20115,2011,545.8000000000001
103,1160,20115,2011,430.65000000000003
1226,S1104,20115,2011,328.19
140,1247,20115,2011,49.59
3336,S73,20115,2011,86.58
3327,S724,20115,2011,1301.8700000000001
1645,S1392,20115,2011,868.95
2824,S2179,20115,2011,1001.4000000000001
3645,s1873,20115,2011,474.4
3639,s1849,20115,2011,88.15
314,1652,20115,2011,6246.7
2168,S1683,20115,2011,369.67
2180,S1688,20115,2011,76.5
2465,S1888,20115,2011,146.7
3307,S707,20115,2011,73.08
1615,S1376,20115,2011,28.16
1609,S1367,20115,2011,60.42
1600,S1364,20115,2011,276.41
1590,S1361,20115,2011,3280.48
1618,S1378,20115,2011,408.83000000000004
2165,S1682,20115,2011,519.05
2476,S1897,20115,2011,50.56
2814,S2177,20115,2011,953.74
852,452,20115,2011,51.92
1662,S1412,20115,2011,1462.22
841,447,20115,2011,0.0
3304,S70,20115,2011,617.94
2833,S2191,20115,2011,13.0
2468,S1892,20115,2011,68.32
310,1639,20115,2011,1429.4
304,1616,20115,2011,44428.61
292,1607,20115,2011,15865.97
3352,S749,20115,2011,393.43
3346,S743,20115,2011,25.0
1695,S1438,20115,2011,521.1899999999999
1688,S1436,20115,2011,49.7
338,1704,20115,2011,4278.0599999999995
333,170,20115,2011,1305.04
3654,s19,20115,2011,2423.57
2160,S1679,20115,2011,518.12
3661,s1977,20115,2011,472.05
3685,s2265,20115,2011,39.72
3678,s2022,20115,2011,248.5
